venue_record_id,venue,hotel_wing,dimension_meters,ceiling_height_meters,floor_area_sqm,theater_capacity,classroom_capacity,u_shape_capacity,block_capacity,banquet_capacity,cocktail_capacity,source_versions,source_url,date_collected,venue_version_status,capacity_conflict,capacity_selection_method
1,BALLROOM 1,Lake Wing,29.50 X 14.60,5.5,430.7,350.0,220.0,80.0,100.0,220.0,450.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
2,BALLROOM 2,Lake Wing,29.50 X 14.60,5.5,430.7,350.0,220.0,80.0,100.0,220.0,450.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
3,BALLROOM 3,Lake Wing,29.50 X 14.60,5.5,430.7,350.0,220.0,80.0,100.0,220.0,450.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
4,CAMIA,Lake Wing,8.50 X 6.80,3.4,57.8,50.0,32.0,22.0,22.0,30.0,60.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
5,CATTLEYA,Lake Wing,7.70 X 6.35,3.25,48.9,40.0,30.0,20.0,20.0,20.0,50.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
6,CHAMPACA,Lake Wing,7.70 X 6.55,3.25,50.44,40.0,30.0,20.0,20.0,20.0,50.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
7,CHAMPACA (PRE-FUNCTION),Lake Wing,14.00 X 4.40,3.3,61.6,40.0,30.0,20.0,20.0,20.0,50.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
8,COVERED TERRACE,Lake Wing,37.90 X 9.60,3.9,363.84,300.0,,,,220.0,450.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
9,DAHLIA,Lake Wing,8.50 X 6.80,3.4,57.8,40.0,32.0,22.0,22.0,30.0,60.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
10,GRAND BALLROOM,Lake Wing,43.80 X 29.50,5.5,1292.1,1000.0,750.0,200.0,260.0,800.0,1400.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
11,GUMAMELA,Mountain Wing,8.40 X 5.00,3.2,42.0,,,,12.0,,,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
12,JASMIN,Mountain Wing,7.70 X 5.15,3.5,39.66,32.0,15.0,15.0,15.0,20.0,40.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
13,LILY,Lake Wing,8.30 X 7.00,3.4,58.1,50.0,32.0,22.0,22.0,30.0,60.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
14,LOWER LEVEL FOYER,Mountain Wing,22.20 X 5.45,3.4,120.996,100.0,,,,60.0,120.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
15,MID GARDEN,Lake Wing,25.50 X 8.50,,216.75,120.0,,,30.0,60.0,120.0,Desktop,https://www.taalvistahotel.com/events/,2026-09-02,Desktop only,,Maximum published capacity across official desktop and mobile tables
16,PREMIER GARDEN,Lake Wing,32.00 X 14.00,,448.0,300.0,,,,200.0,430.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
17,ROSAL 1,Mountain Wing,9.65 X 7.95,3.2,76.72,60.0,30.0,20.0,15.0,30.0,80.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
18,ROSAL 2,Mountain Wing,7.60 X 7.95,3.2,60.42,50.0,30.0,20.0,15.0,30.0,70.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
19,SAMPAGUITA BALLROOM,Mountain Wing,30.77 X 18.70,3.9,575.4,420.0,320.0,100.0,120.0,250.0,550.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
20,SAMPAGUITA FOYER,Mountain Wing,15.30 X 4.60,3.88,70.38,,,,,,70.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
21,SANTAN,Lake Wing,8.30 X 7.00,3.4,58.1,50.0,32.0,22.0,22.0,30.0,60.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
22,VIEWDECK,Lake Wing,123 X 7.70,,947.1,600.0,,,,500.0,860.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
23,WALING-WALING 1,Mountain Wing,7.60 X 7.10,3.25,53.96,42.0,30.0,20.0,15.0,30.0,60.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
24,WALING-WALING 2,Mountain Wing,7.40 X 7.10,3.25,52.54,42.0,30.0,20.0,15.0,30.0,60.0,Desktop | Mobile,https://www.taalvistahotel.com/events/,2026-09-02,Desktop and Mobile,True,Maximum published capacity across official desktop and mobile tables
