meeting_rate_record_id,client_sector,participant_range,minimum_participants,maximum_participants,service_style,package_duration,duration_hours,price_php,currency,rate_basis,package_year,source_page,verification_method,source_url,date_collected,price_eur,price_usd,fx_rate_date,fx_rate_source,open_ended_participant_range
1,Government,15 to 29,15,29.0,Plated,Half Day,4,2300,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,31.76,36.77,2026-09-02,European Central Bank,False
2,Government,15 to 29,15,29.0,Plated,Whole Day,8,2800,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,38.67,44.77,2026-09-02,European Central Bank,False
3,Government,15 to 29,15,29.0,Plated,Full Board,12,4800,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,66.28,76.74,2026-09-02,European Central Bank,False
4,Government,30 to 60,30,60.0,Managed Buffet,Half Day,4,2200,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,30.38,35.17,2026-09-02,European Central Bank,False
5,Government,30 to 60,30,60.0,Managed Buffet,Whole Day,8,2850,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,39.36,45.57,2026-09-02,European Central Bank,False
6,Government,30 to 60,30,60.0,Managed Buffet,Full Board,12,4650,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,64.21,74.35,2026-09-02,European Central Bank,False
7,Government,61 and above,61,,Managed Buffet,Half Day,4,2350,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,32.45,37.57,2026-09-02,European Central Bank,True
8,Government,61 and above,61,,Managed Buffet,Whole Day,8,2900,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,40.05,46.37,2026-09-02,European Central Bank,True
9,Government,61 and above,61,,Managed Buffet,Full Board,12,4900,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,67.67,78.34,2026-09-02,European Central Bank,True
10,Corporate,15 to 29,15,29.0,Plated,Half Day,4,2100,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,29.0,33.58,2026-09-02,European Central Bank,False
11,Corporate,15 to 29,15,29.0,Plated,Whole Day,8,2700,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,37.29,43.17,2026-09-02,European Central Bank,False
12,Corporate,15 to 29,15,29.0,Plated,Full Board,12,4400,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,60.76,70.35,2026-09-02,European Central Bank,False
13,Corporate,30 to 60,30,60.0,Managed Buffet,Half Day,4,2350,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,32.45,37.57,2026-09-02,European Central Bank,False
14,Corporate,30 to 60,30,60.0,Managed Buffet,Whole Day,8,3050,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,42.12,48.76,2026-09-02,European Central Bank,False
15,Corporate,30 to 60,30,60.0,Managed Buffet,Full Board,12,4950,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,68.36,79.14,2026-09-02,European Central Bank,False
16,Corporate,61 and above,61,,Managed Buffet,Half Day,4,2500,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,34.52,39.97,2026-09-02,European Central Bank,True
17,Corporate,61 and above,61,,Managed Buffet,Whole Day,8,3250,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,44.88,51.96,2026-09-02,European Central Bank,True
18,Corporate,61 and above,61,,Managed Buffet,Full Board,12,5200,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02,71.81,83.14,2026-09-02,European Central Bank,True
