menu_record_id,outlet_name,menu_category,item_name,package_detail,price_php,source_page,currency,tax_inclusive,menu_as_of_date,verification_method,source_url,date_collected,price_eur,price_usd,fx_rate_date,fx_rate_source
1,Pasalubong,Breads,Chicken Empanada,Box of 6,500,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,6.9,7.99,2026-09-02,European Central Bank
2,Pasalubong,Breads,Chicken Empanada,Box of 12,900,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,12.43,14.39,2026-09-02,European Central Bank
3,Pasalubong,Breads,Ensaymada Brioche,Box of 6,450,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,6.21,7.19,2026-09-02,European Central Bank
4,Pasalubong,Breads,Ensaymada Brioche,Box of 12,700,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,9.67,11.19,2026-09-02,European Central Bank
5,Pasalubong,Breads,Cheese Bread,Box of 6,350,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,4.83,5.6,2026-09-02,European Central Bank
6,Pasalubong,Breads,Cheese Bread,Box of 12,650,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,8.98,10.39,2026-09-02,European Central Bank
7,Pasalubong,Breads,Pan de Coco,Box of 6,350,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,4.83,5.6,2026-09-02,European Central Bank
8,Pasalubong,Breads,Pan de Coco,Box of 12,650,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,8.98,10.39,2026-09-02,European Central Bank
9,Pasalubong,Breads,Ensaymada Halaya,Box of 6,460,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,6.35,7.35,2026-09-02,European Central Bank
10,Pasalubong,Breads,Ensaymada Halaya,Box of 12,820,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,11.32,13.11,2026-09-02,European Central Bank
11,Pasalubong,Breads,Ube Cheese Pandesal,Box of 6,330,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,4.56,5.28,2026-09-02,European Central Bank
12,Pasalubong,Breads,Ube Cheese Pandesal,Box of 12,600,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,8.29,9.59,2026-09-02,European Central Bank
13,Pasalubong,Spanish-Style Milkfish,In Olive Oil with Truffle,Individual item,420,2,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,5.8,6.72,2026-09-02,European Central Bank
14,Pasalubong,Spanish-Style Milkfish,In Olive Oil with Calamansi,Individual item,370,2,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,5.11,5.92,2026-09-02,European Central Bank
