spa_price_record_id,service_category,service_name,duration_minutes,price_php,currency,tax_inclusive,source_page,menu_as_of_date,verification_method,source_url,date_collected,price_eur,price_usd,fx_rate_date,fx_rate_source
1,Express Treats,Foot Reflexology,45,1500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,20.71,23.98,2026-09-02,European Central Bank
2,Express Treats,Foot Reflexology,60,1800,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,24.86,28.78,2026-09-02,European Central Bank
3,Express Treats,Foot Scrub with Massage,60,2500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,34.52,39.97,2026-09-02,European Central Bank
4,Express Treats,Aroma Scalp and Shoulder,45,1500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,20.71,23.98,2026-09-02,European Central Bank
5,Express Treats,Aroma Scalp and Shoulder,60,1800,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,24.86,28.78,2026-09-02,European Central Bank
6,Express Treats,Body Scrub,45,2000,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,27.62,31.98,2026-09-02,European Central Bank
7,Express Treats,Back Massage,15,700,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,9.67,11.19,2026-09-02,European Central Bank
8,Express Treats,Hand and Arm Rejuvenation,45,1500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,20.71,23.98,2026-09-02,European Central Bank
9,Add Ons,Gua Sha Facial Lift,15,500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,6.9,7.99,2026-09-02,European Central Bank
10,Add Ons,Warm Herbal Compress,15,400,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,5.52,6.4,2026-09-02,European Central Bank
11,Add Ons,Aromatherapy Upgrade,15,300,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,4.14,4.8,2026-09-02,European Central Bank
12,Indulgent Spa Packages,Couple's Sunset Retreat,90,7500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,103.57,119.91,2026-09-02,European Central Bank
13,Indulgent Spa Packages,Rejuvenate,180,6000,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02,82.86,95.93,2026-09-02,European Central Bank
