0,1,2,3,4,5,6,7,8,9,hotel_wing,display_version,source_url,date_collected
VENUE,DIMENSION (IN METERS),CEILING HEIGHT (IN METERS),FLOOR AREA (IN SQ. METERS),CONFERENCE CAPACITY,CONFERENCE CAPACITY,CONFERENCE CAPACITY,CONFERENCE CAPACITY,BANQUET,COCKTAIL,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
VENUE,DIMENSION (IN METERS),CEILING HEIGHT (IN METERS),FLOOR AREA (IN SQ. METERS),THEATER,CLASSROOM,U-SHAPE,BLOCK,BANQUET,COCKTAIL,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
GRAND BALLROOM,43.80 X 29.50,5.50,1292.10,1000,750,200,260,800,1400,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
BALLROOM 1,29.50 X 14.60,5.50,430.70,350,220,80,100,220,450,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
BALLROOM 2,29.50 X 14.60,5.50,430.70,350,220,80,100,220,450,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
BALLROOM 3,29.50 X 14.60,5.50,430.70,350,220,80,100,220,450,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
COVERED TERRACE,37.90 X 9.60,3.90,363.84,300,,,,220,450,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
CAMIA,8.50 X 6.80,3.40,57.80,50,32,22,22,30,60,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
LILY,8.30 X 7.00,3.40,58.10,50,32,22,22,30,60,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
SANTAN,8.30 X 7.00,3.40,58.10,50,32,22,22,30,60,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
DAHLIA,8.50 X 6.80,3.40,57.80,40,32,22,22,30,60,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
CHAMPACA,7.70 X 6.55,3.25,50.44,40,30,20,20,20,50,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
CATTLEYA,7.70 X 6.35,3.25,48.90,40,30,20,20,20,50,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
CHAMPACA (PRE-FUNCTION),14.00 X 4.40,3.30,61.60,40,30,20,20,20,50,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
VIEWDECK,123 X 7.70,,947.10,600,,,,500,860,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
MID GARDEN,25.50 X 8.50,,216.75,120,,,30,60,120,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
PREMIER GARDEN,32.00 X 14.00,,448.00,300,,,,200,430,Lake Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
