VENUE,DIMENSION (IN METERS),FLOOR AREA (IN SQ. METERS),CONFERENCE CAPACITY,THEATER,CLASSROOM,U-SHAPE,BLOCK,BANQUET,COCKTAIL,hotel_wing,display_version,source_url,date_collected
GRAND BALLROOM,43.80 X 29.50,5.5,1292.1,360,180.0,90.0,90.0,270,270,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
BALLROOM 1,29.50 X 14.60,5.5,430.7,120,60.0,30.0,30.0,90,90,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
BALLROOM 2,29.50 X 14.60,5.5,430.7,120,60.0,30.0,30.0,90,90,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
BALLROOM 3,29.50 X 14.60,5.5,430.7,120,60.0,30.0,30.0,90,90,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
COVERED TERRACE,37.90 X 9.60,3.9,363.84,100,,,,80,80,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
CAMIA,8.50 X 6.80,3.4,57.8,24,12.0,10.0,10.0,15,15,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
LILY,8.30 X 7.00,3.4,58.1,24,12.0,10.0,10.0,15,15,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
SANTAN,8.30 X 7.00,3.4,58.1,24,12.0,10.0,10.0,15,15,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
DAHLIA,8.50 X 6.80,3.4,57.8,24,12.0,10.0,10.0,15,15,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
CHAMPACA,7.70 X 6.55,3.25,50.44,20,14.0,10.0,12.0,10,10,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
CATTLEYA,7.70 X 6.35,3.25,48.9,20,14.0,10.0,12.0,10,10,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
CHAMPACA (PRE-FUNCTION),14.00 X 4.40,3.3,61.6,26,20.0,15.0,15.0,15,30,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
VIEWDECK,123 X 7.70,,947.1,150,,,,100,100,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
PREMIER GARDEN,32.00 X 14.00,,448.0,150,,,,100,100,Lake Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
