0,1,2,3,4,5,6,7,8,9,hotel_wing,display_version,source_url,date_collected
VENUE,DIMENSION (IN METERS),CEILING HEIGHT (IN METERS),FLOOR AREA (IN SQ. METERS),CONFERENCE CAPACITY,CONFERENCE CAPACITY,CONFERENCE CAPACITY,CONFERENCE CAPACITY,BANQUET,COCKTAIL,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
VENUE,DIMENSION (IN METERS),CEILING HEIGHT (IN METERS),FLOOR AREA (IN SQ. METERS),THEATER,CLASSROOM,U-SHAPE,BLOCK,BANQUET,COCKTAIL,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
SAMPAGUITA BALLROOM,30.77 X 18.70,3.90,575.40,420,320,100,120,250,550,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
SAMPAGUITA FOYER,15.30 X 4.60,3.88,70.38,,,,,,70,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
LOWER LEVEL FOYER,22.20 X 5.45,3.40,120.9960,100,,,,60,120,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
WALING-WALING 1,7.60 X 7.10,3.25,53.96,42,30,20,15,30,60,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
WALING-WALING 2,7.40 X 7.10,3.25,52.54,42,30,20,15,30,60,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
ROSAL 1,9.65 X 7.95,3.20,76.72,60,30,20,15,30,80,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
ROSAL 2,7.60 X 7.95,3.20,60.42,50,30,20,15,30,70,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
GUMAMELA,8.40 X 5.00,3.20,42.00,,,,12,,,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
JASMIN,7.70 X 5.15,3.50,39.66,32,15,15,15,20,40,Mountain Wing,Desktop,https://www.taalvistahotel.com/events/,2026-09-02
