fact_record_id,fact_category,fact_name,fact_value,fact_unit,source_statement,source_url,date_collected
1,Identity,hotel_name,Taal Vista Hotel,,"Previously known as Taal Vista Lodge, the hotel was the brainchild of Philippine Commonwealth President Manuel L. Quezon who initiated the development of Tagaytay as a tourism destination. In 1935 Quezon instructed the Manila Railroad
                      Company to build a lodge and golf course on Tagaytay Ridge. Under the supervision of the Manila Hotel, a property under the Manila Railroad Company, the lodge was designed by Andres Luna de San Pedro, son of painter Juan Luna, and
                      built on a 6-hectare lot on Tagaytay Ridge.",https://www.taalvistahotel.com/about/,2026-09-02
2,Identity,former_name,Taal Vista Lodge,,"Previously known as Taal Vista Lodge, the hotel was the brainchild of Philippine Commonwealth President Manuel L. Quezon who initiated the development of Tagaytay as a tourism destination. In 1935 Quezon instructed the Manila Railroad
                      Company to build a lodge and golf course on Tagaytay Ridge. Under the supervision of the Manila Hotel, a property under the Manila Railroad Company, the lodge was designed by Andres Luna de San Pedro, son of painter Juan Luna, and
                      built on a 6-hectare lot on Tagaytay Ridge.",https://www.taalvistahotel.com/about/,2026-09-02
3,History,development_initiated_year,1935,year,"Previously known as Taal Vista Lodge, the hotel was the brainchild of Philippine Commonwealth President Manuel L. Quezon who initiated the development of Tagaytay as a tourism destination. In 1935 Quezon instructed the Manila Railroad
                      Company to build a lodge and golf course on Tagaytay Ridge. Under the supervision of the Manila Hotel, a property under the Manila Railroad Company, the lodge was designed by Andres Luna de San Pedro, son of painter Juan Luna, and
                      built on a 6-hectare lot on Tagaytay Ridge.",https://www.taalvistahotel.com/about/,2026-09-02
4,History,designer,Andres Luna de San Pedro,,"Previously known as Taal Vista Lodge, the hotel was the brainchild of Philippine Commonwealth President Manuel L. Quezon who initiated the development of Tagaytay as a tourism destination. In 1935 Quezon instructed the Manila Railroad
                      Company to build a lodge and golf course on Tagaytay Ridge. Under the supervision of the Manila Hotel, a property under the Manila Railroad Company, the lodge was designed by Andres Luna de San Pedro, son of painter Juan Luna, and
                      built on a 6-hectare lot on Tagaytay Ridge.",https://www.taalvistahotel.com/about/,2026-09-02
5,Property,original_site_area,6,hectares,"Previously known as Taal Vista Lodge, the hotel was the brainchild of Philippine Commonwealth President Manuel L. Quezon who initiated the development of Tagaytay as a tourism destination. In 1935 Quezon instructed the Manila Railroad
                      Company to build a lodge and golf course on Tagaytay Ridge. Under the supervision of the Manila Hotel, a property under the Manila Railroad Company, the lodge was designed by Andres Luna de San Pedro, son of painter Juan Luna, and
                      built on a 6-hectare lot on Tagaytay Ridge.",https://www.taalvistahotel.com/about/,2026-09-02
6,History,inauguration_date,1939-10-07,date,"On October 7, 1939, Taal Vista Lodge was inaugurated and became a popular lodging and dining destination for local and foreign tourists alike. A few years after it opened to the public, World War II broke out and the lodge became a
                      vacation place for American servicemen. When the Japanese occupied the country from 1942 to 1945, Taal Vista Lodge was converted as officers’ quarters for the Japanese.",https://www.taalvistahotel.com/about/,2026-09-02
7,Ownership,current_owner,SM Investments Corporation,,"In 1968, the Philippine government decided to privatize some government corporations including Taal Vista Lodge. It went through several ownerships and changed its name to Taal Vista Hotel. In 1988, Henry Sy, Sr., chairman of SMIC,
                      finally acquired it and the corporation remains to be its owner up to the present.",https://www.taalvistahotel.com/about/,2026-09-02
8,Ownership,acquisition_year,1988,year,"In 1968, the Philippine government decided to privatize some government corporations including Taal Vista Lodge. It went through several ownerships and changed its name to Taal Vista Hotel. In 1988, Henry Sy, Sr., chairman of SMIC,
                      finally acquired it and the corporation remains to be its owner up to the present.",https://www.taalvistahotel.com/about/,2026-09-02
9,Inventory,original_accommodation_inventory,25,cabins,"Since then, Taal Vista Hotel underwent major renovations and expansion bringing up the number of its original 25 cabins to 262 well-appointed guest rooms as well as excellent facilities for entertainment, business, dining and social
                      events.",https://www.taalvistahotel.com/about/,2026-09-02
10,Inventory,reported_room_inventory,262,rooms,"Since then, Taal Vista Hotel underwent major renovations and expansion bringing up the number of its original 25 cabins to 262 well-appointed guest rooms as well as excellent facilities for entertainment, business, dining and social
                      events.",https://www.taalvistahotel.com/about/,2026-09-02
11,Inventory,reported_room_inventory,261,rooms,"Constantly in step with the changing times, Taal Vista Hotel is a perfect example of classic architecture and contemporary function. The hotel has 261 stylishly appointed rooms that are fully-equipped with modern amenities. Feel the residential warmth of the historic lodge at the Mountain Wing and experience a touch of the modern flair at the Lake Wing.",https://www.taalvistahotel.com/,2026-09-02
12,Property,hotel_wings,Lake Wing | Mountain Wing,,"Constantly in step with the changing times, Taal Vista Hotel is a perfect example of classic architecture and contemporary function. The hotel has 261 stylishly appointed rooms that are fully-equipped with modern amenities. Feel the residential warmth of the historic lodge at the Mountain Wing and experience a touch of the modern flair at the Lake Wing.",https://www.taalvistahotel.com/,2026-09-02
