meeting_rate_record_id,client_sector,participant_range,minimum_participants,maximum_participants,service_style,package_duration,duration_hours,price_php,currency,rate_basis,package_year,source_page,verification_method,source_url,date_collected
1,Government,15 to 29,15,29,Plated,Half Day,4,2300,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
2,Government,15 to 29,15,29,Plated,Whole Day,8,2800,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
3,Government,15 to 29,15,29,Plated,Full Board,12,4800,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
4,Government,30 to 60,30,60,Managed Buffet,Half Day,4,2200,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
5,Government,30 to 60,30,60,Managed Buffet,Whole Day,8,2850,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
6,Government,30 to 60,30,60,Managed Buffet,Full Board,12,4650,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
7,Government,61 and above,61,,Managed Buffet,Half Day,4,2350,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
8,Government,61 and above,61,,Managed Buffet,Whole Day,8,2900,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
9,Government,61 and above,61,,Managed Buffet,Full Board,12,4900,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
10,Corporate,15 to 29,15,29,Plated,Half Day,4,2100,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
11,Corporate,15 to 29,15,29,Plated,Whole Day,8,2700,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
12,Corporate,15 to 29,15,29,Plated,Full Board,12,4400,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
13,Corporate,30 to 60,30,60,Managed Buffet,Half Day,4,2350,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
14,Corporate,30 to 60,30,60,Managed Buffet,Whole Day,8,3050,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
15,Corporate,30 to 60,30,60,Managed Buffet,Full Board,12,4950,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
16,Corporate,61 and above,61,,Managed Buffet,Half Day,4,2500,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
17,Corporate,61 and above,61,,Managed Buffet,Whole Day,8,3250,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
18,Corporate,61 and above,61,,Managed Buffet,Full Board,12,5200,PHP,Not explicitly stated,2026,2,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2025/11/Mice-Packages-New-Tier-3-Peak-rate.pdf,2026-09-02
