menu_record_id,outlet_name,menu_category,item_name,package_detail,price_php,source_page,currency,tax_inclusive,menu_as_of_date,verification_method,source_url,date_collected
1,Pasalubong,Breads,Chicken Empanada,Box of 6,500,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
2,Pasalubong,Breads,Chicken Empanada,Box of 12,900,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
3,Pasalubong,Breads,Ensaymada Brioche,Box of 6,450,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
4,Pasalubong,Breads,Ensaymada Brioche,Box of 12,700,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
5,Pasalubong,Breads,Cheese Bread,Box of 6,350,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
6,Pasalubong,Breads,Cheese Bread,Box of 12,650,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
7,Pasalubong,Breads,Pan de Coco,Box of 6,350,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
8,Pasalubong,Breads,Pan de Coco,Box of 12,650,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
9,Pasalubong,Breads,Ensaymada Halaya,Box of 6,460,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
10,Pasalubong,Breads,Ensaymada Halaya,Box of 12,820,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
11,Pasalubong,Breads,Ube Cheese Pandesal,Box of 6,330,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
12,Pasalubong,Breads,Ube Cheese Pandesal,Box of 12,600,1,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
13,Pasalubong,Spanish-Style Milkfish,In Olive Oil with Truffle,,420,2,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
14,Pasalubong,Spanish-Style Milkfish,In Olive Oil with Calamansi,,370,2,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
15,Pasalubong,Spanish-Style Milkfish,In Corn Oil Regular/Spicy,,340,2,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
16,Pasalubong,The Green Olive,Gourmet Tuyo / Tapa,210g,450,2,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
17,Pasalubong,The Green Olive,Lengua Plain / Coffee / Ube,220g,340,2,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
18,Pasalubong,The Green Olive,Bagoong Alamang Spicy / Sweet & Spicy,210g,290,2,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
19,Pasalubong,The Green Olive,Chili Garlic,100g,240,2,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
20,Pasalubong,Tsaa Laya’s Tea,Special Tea Set,"1 canister Lemon Ginger, 2 Bughaw Floral Blend sachets, 2 Tropical Summer sachets",890,2,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
21,Pasalubong,Others,Choco / White Crisps,,690,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
22,Pasalubong,Others,Coffee Tuile,,390,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
23,Pasalubong,Others,Ground Coffee in Jute Bag,,400,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
24,Pasalubong,Others,Tudor Bear Stuffed Toy,,380,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
25,Pasalubong,Others,Chichapop (Sweet Corn),,220,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
26,Pasalubong,Others,Chichapop (Cheese),,220,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
27,Pasalubong,Others,Chichapop (Barbeque),,220,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
28,Pasalubong,Others,Arrowroot,,420,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
29,Pasalubong,Others,Peanut Cookies,,420,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
30,Pasalubong,Others,Argellanas,,390,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
31,Pasalubong,Others,Sunflower Seeds (Roasted),,190,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
32,Pasalubong,Others,Banana Chips (Sweet),,180,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
33,Pasalubong,Others,Banana Chips (Sugar-Free),,180,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
34,Pasalubong,Others,Shing-A-Ling,,150,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02
