promotion_record_id,promotion_category,promotion_name,promotion_details,details_url,action_label,action_url,source_url,date_collected
1,Accommodation,"RAIN, RAIN, GETAWAY!","Escape the rain with a cozy stay, delightful perks, timeless Tagaytay views and an exclusive Brickseum experience. | Rates start at Php 8,000 for a Superior Room.",https://www.taalvistahotel.com/wp-content/uploads/2026/07/Rain-Rain-Getaway.jpg,BOOK NOW,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-12&out=2026-09-13,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
2,Accommodation,Mobile exclusive deals,"Your dream staycation is just a tap away. Book directly via any mobile device and enjoy up to 32% off on regular dates! | Rates start at Php 7,888 for a Superior Room.",https://www.taalvistahotel.com/wp-content/uploads/2026/07/Rain-Rain-Getaway.jpg,BOOK NOW,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-12&out=2026-09-13,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
3,Accommodation,elevated escapes,"Where comfort meets calm and every view feels like a pause. Experience the new Lake Wing Rooms. | Rates start at Php 10,625 for a Deluxe Room.",https://www.taalvistahotel.com/wp-content/uploads/2026/04/Elevated-Escapes-Website.jpg,BOOK NOW,https://www.simplebooking.it/ibe2/hotel/6757/?hid=6757&lang=EN&cur=PHP,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
4,Accommodation,Suite serenity: A moment of luxury,"Surrender to an atmosphere of stillness and subtle sophistication, overlooking the timeless beauty of Taal Lake. | Rates start at Php 22,500 for a Deluxe Suite Room",https://www.taalvistahotel.com/wp-content/uploads/2026/08/Suite-Serenity-A-Moment-of-Luxury_converted.pdf,BOOK NOW,https://www.simplebooking.it/ibe2/hotel/6757/?hid=6757&lang=EN&cur=PHP,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
5,Accommodation,PLAN AHEAD PAY LESS!,"Plan you Tagaytay escape ahead and enjoy 30% off on regular rates when you book at least 30 days in advance. | Rates start at Php  8,120  for a Superior Room",https://www.taalvistahotel.com/wp-content/uploads/2026/04/Plan-Ahead-Pay-Less.pdf,BOOK NOW,https://www.simplebooking.it/ibe2/hotel/6757/?hid=6757&lang=EN&cur=PHP,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
6,Accommodation,BEST TO BOOK DIRECT!,"Book Direct, Save More! | Rates start at Php 8,700 for a Superior Room",https://www.taalvistahotel.com/wp-content/uploads/2026/04/0-02-06-7f8409e8519728309f126376046af413a67828d881979e3beedee02f5734b8a2_22131494553.jpg,BOOK NOW,https://www.simplebooking.it/ibe2/hotel/6757/?hid=6757&lang=EN&cur=PHP,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
7,Dining,PLATE FOR THE PLANET,"Fresh from Tagaytay, our pineapple-inspired creations support local farmers while bringing bright, local flavors to your plate. | Rates start at Php 130 per person",https://www.taalvistahotel.com/wp-content/uploads/2026/07/Plate-for-the-Planet-for-Website.jpg,,,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
8,Dining,Perfect Pairings: Bites & Beer,"Enjoy the perfect pairing of crowd-favorite savory bites with two (2) servings of San Miguel Light or Pale Pilsen. | Php 1,500 per order",https://www.taalvistahotel.com/wp-content/uploads/2026/07/Bites-and-Beer-Special-for-Website.jpg,,,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
9,Dining,DINE UNDER THE STARS,"Feel the love in the most romantic setting, perfectly matched with a curated menu. | Rates start at Php 10,900 per couple﻿",,BOOK YOUR TABLE,https://bit.ly/TVHDiningReservations,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
10,Dining,GLAM PICNIC AT THE LAWN,"Spend worthwhile afternoons with good food, good company, and the best view of Taal Volcano. | Php 6,500 nett per set",,RESERVE NOW,https://forms.office.com/r/LTwLn6BxuU,https://www.taalvistahotel.com/family-friendly-tagaytay-hotel-deals/,2026-09-02
