spa_price_record_id,service_category,service_name,duration_minutes,price_php,currency,tax_inclusive,source_page,menu_as_of_date,verification_method,source_url,date_collected
1,Express Treats,Foot Reflexology,45,1500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
2,Express Treats,Foot Reflexology,60,1800,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
3,Express Treats,Foot Scrub with Massage,60,2500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
4,Express Treats,Aroma Scalp and Shoulder,45,1500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
5,Express Treats,Aroma Scalp and Shoulder,60,1800,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
6,Express Treats,Body Scrub,45,2000,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
7,Express Treats,Back Massage,15,700,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
8,Express Treats,Hand and Arm Rejuvenation,45,1500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
9,Add Ons,Gua Sha Facial Lift,15,500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
10,Add Ons,Warm Herbal Compress,15,400,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
11,Add Ons,Aromatherapy Upgrade,15,300,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
12,Indulgent Spa Packages,Couple's Sunset Retreat,90,7500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
13,Indulgent Spa Packages,Rejuvenate,180,6000,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
14,Indulgent Spa Packages,Rain Total Glow,105,5800,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
15,Indulgent Spa Packages,Refresh,120,4000,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
16,Indulgent Spa Packages,View Deck Bliss,90,3800,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
17,Indulgent Spa Packages,Flow and Facial Fusion,105,3500,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
18,Indulgent Spa Packages,Radiance Ritual,90,3000,PHP,True,1,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
19,Body Treatments,Indulgence Glow,120,5000,PHP,True,2,2026-02-20,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/02/Rain-The-Spa-Menu-as-of-20-February-2026.pdf,2026-09-02
